Date	Price	Open	High	Low	Volume	Chg%
Oct 19, 2020	55.585	55.686	55.787	55.569	71.86K	-0.15%
Oct 16, 2020	55.671	55.544	55.729	55.396	87.92K	0.26%
Oct 15, 2020	55.525	55.733	55.788	55.401	100.36K	-0.32%
Oct 14, 2020	55.700	55.872	55.938	55.648	87.91K	-0.29%
Oct 13, 2020	55.860	55.948	55.981	55.789	88.44K	-0.14%
Oct 12, 2020	55.938	55.643	56.004	55.548	62.18K	0.54%
Oct 09, 2020	55.639	55.545	55.711	55.373	83.85K	0.20%
Oct 08, 2020	55.527	55.326	55.572	55.251	80.64K	0.38%
Oct 07, 2020	55.314	55.181	55.339	55.045	90.68K	0.27%
Oct 06, 2020	55.168	55.112	55.447	55.083	90.35K	0.13%
Oct 05, 2020	55.098	55.101	55.292	55.035	84.69K	0.08%
Oct 02, 2020	55.056	55.096	55.238	54.943	112.24K	-0.03%
Oct 01, 2020	55.074	55.229	55.396	54.924	101.32K	-0.27%
Sep 30, 2020	55.225	55.102	55.320	54.946	106.71K	0.27%
Sep 29, 2020	55.074	55.172	55.288	54.977	81.99K	-0.11%
Sep 28, 2020	55.136	55.046	55.256	54.930	91.06K	0.20%
Sep 25, 2020	55.027	55.318	55.401	54.926	99.21K	-0.47%
Sep 24, 2020	55.290	54.966	55.475	54.890	113.74K	0.62%
Sep 23, 2020	54.948	55.262	55.299	54.964	96.08K	-0.57%
Sep 22, 2020	55.262	55.290	55.340	55.100	100.21K	-0.02%
Sep 21, 2020	55.274	55.742	55.831	55.233	96.02K	-0.73%
Sep 18, 2020	55.681	55.901	56.041	55.595	103.35K	-0.38%
Sep 17, 2020	55.893	55.805	55.990	55.558	111.16K	0.18%
Sep 16, 2020	55.793	55.824	56.014	55.725	97.77K	-0.05%
Sep 15, 2020	55.821	55.696	56.050	55.642	83.34K	0.26%
Sep 14, 2020	55.676	55.730	55.935	55.645	64.41K	-0.08%
Sep 11, 2020	55.722	55.670	55.922	55.601	96.86K	0.12%
Sep 10, 2020	55.654	55.762	55.934	55.624	111.63K	-0.19%
Sep 09, 2020	55.763	55.719	55.823	55.518	105.83K	0.11%
Sep 08, 2020	55.703	56.071	56.248	55.707	110.04K	-0.64%
Sep 07, 2020	56.064	56.132	56.209	55.789	67.00K	-0.08%
Sep 04, 2020	56.109	55.908	56.196	55.701	113.75K	0.37%
Sep 03, 2020	55.903	56.175	56.216	55.755	117.94K	-0.46%
Sep 02, 2020	56.161	55.881	56.210	55.792	103.86K	0.53%
Sep 01, 2020	55.868	56.170	56.338	55.779	108.11K	-0.49%
Aug 31, 2020	56.142	55.834	56.363	55.792	98.14K	0.60%
Aug 28, 2020	55.808	56.295	56.402	55.699	108.52K	-0.86%
Aug 27, 2020	56.292	56.473	56.594	56.110	99.32K	-0.31%
Aug 26, 2020	56.469	56.358	56.550	56.291	88.64K	0.26%
Aug 25, 2020	56.320	56.112	56.399	55.999	91.92K	0.39%
Aug 24, 2020	56.103	56.867	56.906	56.023	81.86K	-1.31%
Aug 21, 2020	56.848	56.889	56.997	56.615	95.07K	-0.07%
Aug 20, 2020	56.888	56.638	56.975	56.559	90.70K	0.46%
Aug 19, 2020	56.629	56.629	57.003	56.580	80.90K	0.01%
Aug 18, 2020	56.621	56.558	56.874	56.486	82.82K	0.12%
Aug 17, 2020	56.551	56.456	56.668	56.423	68.23K	0.22%
Aug 14, 2020	56.428	56.603	56.636	56.417	78.94K	-0.26%
Aug 13, 2020	56.572	56.475	56.712	56.413	85.82K	0.21%
Aug 12, 2020	56.454	56.097	56.494	55.910	88.97K	0.66%
Aug 11, 2020	56.081	56.084	56.234	56.008	90.56K	0.02%
Aug 10, 2020	56.070	56.031	56.164	55.915	71.65K	0.06%
Aug 07, 2020	56.038	56.295	56.392	55.991	99.86K	-0.42%
Aug 06, 2020	56.274	56.370	56.541	56.217	101.79K	-0.18%
Aug 05, 2020	56.373	56.353	56.562	56.279	97.12K	0.05%
Aug 04, 2020	56.347	56.146	56.374	55.966	90.81K	0.38%
Aug 03, 2020	56.134	55.905	56.211	55.816	88.21K	0.53%
Jul 31, 2020	55.837	55.791	56.039	55.610	109.31K	0.12%
Jul 30, 2020	55.769	56.170	56.217	55.653	107.07K	-0.67%
Jul 29, 2020	56.147	55.992	56.221	55.880	92.49K	0.31%
Jul 28, 2020	55.976	56.005	56.141	55.819	97.35K	0.00%
Jul 27, 2020	55.976	55.754	56.026	55.660	94.15K	0.46%
Jul 24, 2020	55.721	55.786	55.939	55.639	104.62K	-0.10%
Jul 23, 2020	55.774	55.621	56.045	55.594	98.23K	0.33%
Jul 22, 2020	55.593	55.381	55.659	55.371	90.18K	0.41%
Jul 21, 2020	55.367	55.223	55.526	55.213	73.72K	0.28%
Jul 20, 2020	55.212	55.161	55.300	55.066	67.94K	0.12%
Jul 17, 2020	55.143	55.387	55.434	55.136	81.52K	-0.42%
Jul 16, 2020	55.378	55.595	55.759	55.353	94.14K	-0.41%
Jul 15, 2020	55.603	55.387	55.648	55.285	99.11K	0.44%
Jul 14, 2020	55.360	55.268	55.488	55.189	109.22K	0.22%
Jul 13, 2020	55.240	55.317	55.545	55.232	81.70K	-0.11%
Jul 10, 2020	55.303	55.320	55.436	55.142	91.86K	0.01%
Jul 09, 2020	55.299	55.463	55.639	55.279	102.00K	-0.28%
Jul 08, 2020	55.454	54.993	55.552	54.963	100.34K	0.86%
Jul 07, 2020	54.979	55.134	55.264	54.963	99.57K	-0.25%
Jul 06, 2020	55.118	55.070	55.334	55.010	85.90K	0.05%
Jul 03, 2020	55.089	55.109	55.336	54.958	72.51K	-0.01%
Jul 02, 2020	55.094	55.573	55.605	54.875	91.22K	-0.81%
Jul 01, 2020	55.545	55.646	55.809	55.497	90.28K	-0.15%
Jun 30, 2020	55.630	55.282	55.679	55.154	100.82K	0.66%
Jun 29, 2020	55.267	55.258	55.415	55.097	96.84K	0.08%
Jun 26, 2020	55.222	55.436	55.451	55.139	99.97K	-0.36%
Jun 25, 2020	55.422	55.475	55.584	55.288	111.80K	-0.06%
Jun 24, 2020	55.454	55.734	55.913	55.465	115.21K	-0.45%
Jun 23, 2020	55.706	56.051	56.149	55.680	110.86K	-0.59%
Jun 22, 2020	56.034	56.074	56.112	55.878	91.30K	0.00%
Jun 19, 2020	56.033	56.170	56.238	55.970	109.61K	-0.23%
Jun 18, 2020	56.161	56.232	56.334	56.032	120.27K	-0.11%
Jun 17, 2020	56.221	56.323	56.414	56.087	119.06K	-0.11%
Jun 16, 2020	56.282	55.982	56.348	55.873	127.10K	0.57%
Jun 15, 2020	55.964	55.981	56.102	55.539	118.87K	0.02%
Jun 12, 2020	55.953	55.747	56.070	55.617	142.82K	0.38%
Jun 11, 2020	55.741	56.389	56.494	55.724	135.44K	-1.10%
Jun 10, 2020	56.363	56.282	56.844	56.223	108.49K	0.19%
Jun 09, 2020	56.256	56.328	56.613	56.033	110.28K	-0.10%
Jun 08, 2020	56.313	56.279	56.492	56.221	84.10K	0.08%
Jun 05, 2020	56.269	55.891	56.489	55.785	111.96K	0.71%
Jun 04, 2020	55.873	55.815	56.073	55.739	106.66K	0.13%
Jun 03, 2020	55.798	55.560	55.935	55.510	110.57K	0.47%
Jun 02, 2020	55.536	55.627	55.875	55.475	106.99K	-0.15%
Jun 01, 2020	55.617	54.858	55.739	54.778	95.33K	1.34%
May 29, 2020	54.883	54.981	55.104	54.639	122.07K	-0.14%
May 28, 2020	54.958	55.219	55.247	54.860	123.08K	-0.39%
May 27, 2020	55.176	54.776	55.231	54.657	120.41K	0.80%
May 26, 2020	54.736	54.263	54.859	54.224	99.27K	0.90%
May 25, 2020	54.249	54.258	54.393	54.199	64.59K	0.03%
May 22, 2020	54.235	54.196	54.328	54.045	105.02K	0.11%
May 21, 2020	54.174	54.348	54.411	54.124	97.89K	-0.30%
May 20, 2020	54.337	54.261	54.529	54.181	99.29K	0.18%
May 19, 2020	54.242	54.320	54.562	54.185	107.14K	-0.11%
May 18, 2020	54.301	53.776	54.328	53.712	77.69K	1.07%
May 15, 2020	53.725	53.729	53.954	53.652	109.91K	0.01%
May 14, 2020	53.719	53.443	53.814	53.414	104.66K	0.52%
May 13, 2020	53.439	53.322	53.782	53.286	118.06K	0.28%
May 12, 2020	53.287	54.187	54.198	53.309	92.52K	-1.57%
May 11, 2020	54.139	54.236	54.474	54.037	93.55K	-0.13%
May 08, 2020	54.211	54.247	54.438	53.967	91.27K	-0.04%
May 07, 2020	54.233	53.800	54.329	53.688	102.84K	0.85%
May 06, 2020	53.774	53.898	54.017	53.666	104.89K	-0.19%
May 05, 2020	53.876	53.706	54.062	53.639	99.52K	0.35%
May 04, 2020	53.688	53.777	53.860	53.524	95.77K	-0.15%
May 01, 2020	53.766	53.834	54.079	53.683	101.57K	-0.11%
Apr 30, 2020	53.826	54.366	54.394	53.784	119.25K	-0.96%
Apr 29, 2020	54.348	54.338	54.543	54.125	116.36K	0.02%
Apr 28, 2020	54.340	54.317	54.616	54.146	121.19K	0.04%
Apr 27, 2020	54.320	54.062	54.350	54.025	97.70K	0.48%
Apr 24, 2020	54.062	53.930	54.421	53.866	115.15K	0.27%
Apr 23, 2020	53.918	53.956	54.256	53.602	126.75K	-0.03%
Apr 22, 2020	53.936	54.173	54.297	53.876	120.47K	-0.40%
Apr 21, 2020	54.151	54.122	54.426	53.892	119.31K	0.08%
Apr 20, 2020	54.105	54.647	54.647	54.109	93.95K	-1.02%
Apr 17, 2020	54.664	54.539	54.838	54.101	123.02K	0.25%
Apr 16, 2020	54.527	54.246	54.657	54.114	127.15K	0.55%
Apr 15, 2020	54.228	54.754	54.790	54.172	119.52K	-0.94%
Apr 14, 2020	54.743	54.840	55.056	54.617	112.86K	-0.14%
Apr 13, 2020	54.817	54.429	55.038	54.190	96.86K	0.84%
Apr 10, 2020	54.363	54.586	54.644	54.240	57.08K	-0.41%
Apr 09, 2020	54.586	54.190	54.763	54.109	131.49K	0.78%
Apr 08, 2020	54.166	54.055	54.512	53.837	135.95K	0.26%
Apr 07, 2020	54.026	53.845	54.244	53.717	143.09K	0.38%
Apr 06, 2020	53.823	53.711	54.112	53.455	114.02K	0.28%
Apr 03, 2020	53.672	54.043	54.131	53.469	151.32K	-0.65%
Apr 02, 2020	54.024	53.844	54.270	53.441	138.91K	0.38%
Apr 01, 2020	53.821	53.587	54.051	52.782	142.16K	0.48%
Mar 31, 2020	53.564	53.218	53.778	52.537	143.79K	0.68%
Mar 30, 2020	53.204	53.939	53.943	53.028	121.88K	-1.43%
Mar 27, 2020	53.976	53.416	54.218	53.016	140.30K	1.05%
Mar 26, 2020	53.417	53.812	53.846	52.655	139.65K	-0.71%
Mar 25, 2020	53.797	52.802	53.873	52.731	130.94K	1.89%
Mar 24, 2020	52.799	52.652	53.022	52.264	127.71K	0.31%
Mar 23, 2020	52.634	52.548	53.242	52.035	109.23K	0.30%
Mar 20, 2020	52.477	51.541	53.016	51.442	116.79K	1.86%
Mar 19, 2020	51.521	51.396	52.055	50.823	142.69K	0.32%
Mar 18, 2020	51.358	52.153	52.296	50.877	145.37K	-1.51%
Mar 17, 2020	52.144	52.801	53.081	51.877	105.95K	-1.20%
Mar 16, 2020	52.780	53.370	53.772	52.788	98.68K	-1.32%
Mar 13, 2020	53.483	53.544	53.627	52.774	138.82K	-0.12%
Mar 12, 2020	53.549	53.482	54.419	53.306	125.77K	0.15%
Mar 11, 2020	53.469	54.029	54.141	53.410	122.26K	-1.02%
Mar 10, 2020	54.019	54.153	54.570	53.741	120.82K	-0.21%
Mar 09, 2020	54.134	54.975	54.977	53.778	116.84K	-1.78%
Mar 06, 2020	55.118	54.827	55.260	54.796	100.73K	0.57%
Mar 05, 2020	54.807	54.938	54.958	54.552	82.85K	-0.20%
Mar 04, 2020	54.918	54.580	55.133	54.562	93.26K	0.67%
Mar 03, 2020	54.553	54.700	55.023	54.316	101.29K	-0.26%
Mar 02, 2020	54.693	54.083	54.724	53.948	91.19K	1.05%
Feb 28, 2020	54.126	53.518	54.168	53.382	110.16K	1.17%
Feb 27, 2020	53.498	53.698	53.800	53.492	92.30K	-0.34%
Feb 26, 2020	53.680	54.083	54.139	53.672	86.18K	-0.72%
